Displaying all GPA's(Unsorted):
==============================
GPA #1.00 is:3.25
GPA #2.00 is:2.78
GPA #3.00 is:3.90
GPA #4.00 is:3.97
GPA #5.00 is:3.00
GPA #6.00 is:3.50
GPA #7.00 is:4.00
GPA #8.00 is:2.99
GPA #9.00 is:4.00
GPA #10.00 is:4.00
GPA #11.00 is:3.33
GPA #12.00 is:3.76
GPA #13.00 is:3.67
GPA #14.00 is:3.75
GPA #15.00 is:3.85
GPA #16.00 is:3.01
GPA #17.00 is:3.10
GPA #18.00 is:4.00
GPA #19.00 is:4.00
GPA #20.00 is:2.50
GPA #21.00 is:4.00
GPA #22.00 is:4.00
GPA #23.00 is:3.89
GPA #24.00 is:4.00
GPA #25.00 is:3.65
==============================
