Displaying all rainfall data(Sorted):
==============================
Rainfall Data #1 is:1
Rainfall Data #2 is:1
Rainfall Data #3 is:2
Rainfall Data #4 is:2
Rainfall Data #5 is:2
Rainfall Data #6 is:3
Rainfall Data #7 is:3
Rainfall Data #8 is:3
Rainfall Data #9 is:4
Rainfall Data #10 is:4
Rainfall Data #11 is:4
Rainfall Data #12 is:4
Rainfall Data #13 is:4
Rainfall Data #14 is:5
Rainfall Data #15 is:5
Rainfall Data #16 is:5
Rainfall Data #17 is:5
Rainfall Data #18 is:6
Rainfall Data #19 is:6
Rainfall Data #20 is:7
Rainfall Data #21 is:7
Rainfall Data #22 is:8
Rainfall Data #23 is:8
Rainfall Data #24 is:9
Rainfall Data #25 is:9
Rainfall Data #26 is:9
Rainfall Data #27 is:9
Rainfall Data #28 is:10
Rainfall Data #29 is:10
Rainfall Data #30 is:10
Rainfall Data #31 is:11
Rainfall Data #32 is:12
Rainfall Data #33 is:12
Rainfall Data #34 is:12
Rainfall Data #35 is:13
Rainfall Data #36 is:13
Rainfall Data #37 is:13
Rainfall Data #38 is:13
Rainfall Data #39 is:14
Rainfall Data #40 is:15
Rainfall Data #41 is:15
Rainfall Data #42 is:16
Rainfall Data #43 is:16
Rainfall Data #44 is:16
Rainfall Data #45 is:17
Rainfall Data #46 is:18
Rainfall Data #47 is:18
Rainfall Data #48 is:19
Rainfall Data #49 is:21
Rainfall Data #50 is:22
Rainfall Data #51 is:23
Rainfall Data #52 is:23
Rainfall Data #53 is:24
Rainfall Data #54 is:25
Rainfall Data #55 is:27
Rainfall Data #56 is:27
Rainfall Data #57 is:28
Rainfall Data #58 is:30
Rainfall Data #59 is:36
Rainfall Data #60 is:36
==============================
